Producer (Kop/Client),Type vidéo,Année post,Mois post,videoDuration,commentsCount,likesCount,videoPlayCount,videoViewCount,engagement_rate
Client,Course / Résumé,2024,4,25.8,122,28451,551916.0,229317.0,12.46
Client,Course / Résumé,2023,11,59.9,35,4519,160801.0,64340.0,7.08
Client,Course / Résumé,2023,10,33.4,30,7618,141047.0,53944.0,14.18
Client,Course / Résumé,2023,10,120.0,8,2069,71346.0,18017.0,11.53
Client,Course / Résumé,2023,11,117.8,23,3080,69745.0,17869.0,17.37
Client,Non défini,2023,10,81.9,22,2211,69048.0,26887.0,8.31
Client,Course / Résumé,2023,11,20.8,14,2244,66500.0,17535.0,12.88
Client,Non défini,2023,10,15.8,17,2533,66156.0,22333.0,11.42
Client,Course / Résumé,2023,11,142.9,15,1423,58236.0,16327.0,8.81
Client,Non défini,2023,10,65.4,12,1680,56287.0,19966.0,8.47
Client,Course / Résumé,2023,11,117.4,3,1693,52670.0,17871.0,9.49
Client,Non défini,2023,10,78.4,4,1132,52661.0,16370.0,6.94
Client,Course / Résumé,2023,10,48.0,4,1506,52572.0,15018.0,10.05
Client,Non défini,2023,11,39.0,3,1521,52298.0,12263.0,12.43
Client,Course / Résumé,2023,11,117.4,9,1726,49230.0,17215.0,10.08
Client,Course / Résumé,2023,11,116.4,2,1794,47369.0,13680.0,13.13
Client,Non défini,2023,11,50.9,9,1468,47329.0,8673.0,17.03
Client,Non défini,2023,10,12.8,5,1639,44745.0,13508.0,12.17
Client,Non défini,2023,11,90.0,12,1107,44635.0,12082.0,9.26
Client,Course / Résumé,2023,11,118.7,2,1495,44190.0,12860.0,11.64
Client,Non défini,2024,1,29.3,12,605,43675.0,14207.0,4.34
Client,Non défini,2023,10,89.0,9,819,43557.0,9817.0,8.43
Client,Non défini,2023,10,38.7,4,788,40047.0,8540.0,9.27
Client,Course / Résumé,2023,11,118.7,5,1551,39834.0,11277.0,13.8
Client,Non défini,2023,11,116.8,13,1778,39299.0,11344.0,15.79
Client,Double Expresso,2023,11,218.9,2,687,39241.0,10995.0,6.27
Client,Non défini,2024,1,112.8,5,666,38643.0,7982.0,8.41
Client,Double Expresso,2023,10,249.0,12,568,37926.0,8565.0,6.77
Client,Non défini,2023,11,103.0,0,1287,37794.0,12805.0,10.05
Client,Non défini,2023,11,12.5,0,1311,37356.0,11427.0,11.47
Client,Course / Résumé,2023,10,120.1,1,1113,36149.0,8995.0,12.38
Client,Course / Résumé,2023,11,117.6,0,867,35835.0,10157.0,8.54
Client,Non défini,2023,11,135.8,9,846,35619.0,12075.0,7.08
Client,Course / Résumé,2023,11,117.5,3,989,34778.0,10618.0,9.34
Client,Course / Résumé,2023,11,115.8,2,984,33322.0,7682.0,12.84
Client,Course / Résumé,2023,11,117.8,0,848,33268.0,9849.0,8.61
Client,Double Expresso,2023,10,214.7,4,441,33215.0,6977.0,6.38
Kop,Non défini,2025,2,74.7,19,948,30585.0,8933.0,10.83
Client,Course / Résumé,2023,11,117.6,1,664,29505.0,8644.0,7.69
Client,Non défini,2023,11,117.8,2,1004,29411.0,9099.0,11.06
Client,Course / Résumé,2023,11,116.4,2,579,28337.0,7508.0,7.74
Client,Course / Résumé,2023,11,116.8,2,867,27779.0,8577.0,10.13
Client,Non défini,2023,10,28.8,2,1033,27577.0,8864.0,11.68
Client,Non défini,2023,10,52.5,5,879,27572.0,7914.0,11.17
Client,Non défini,2023,10,15.6,2,822,26791.0,6129.0,13.44
Client,Non défini,2023,11,87.1,0,436,26748.0,7076.0,6.16
Client,Non défini,2023,11,89.0,5,458,26252.0,5797.0,7.99
Client,Non défini,2023,11,82.8,6,497,26206.0,6240.0,8.06
Client,Non défini,2023,11,139.4,6,561,25913.0,5461.0,10.38
Client,Course / Résumé,2023,11,117.4,2,606,25619.0,8493.0,7.16
Client,Non défini,2025,2,67.5,3,468,25381.0,4853.0,9.71
Client,Non défini,2023,10,22.6,2,745,24789.0,5826.0,12.82
Client,Non défini,2023,11,117.0,1,385,24525.0,6063.0,6.37
Client,Course / Résumé,2023,10,111.6,1,673,24454.0,7511.0,8.97
Kop,Non défini,2025,1,81.7,2,637,23381.0,6278.0,10.18
Client,Non défini,2023,11,109.4,4,686,22896.0,6029.0,11.44
Client,Course / Résumé,2023,11,117.9,1,753,22506.0,7309.0,10.32
Client,Course / Résumé,2023,11,118.4,3,490,22400.0,6180.0,7.98
Kop,Non défini,2025,3,88.2,4,427,21778.0,6308.0,6.83
Client,Non défini,2023,11,70.1,2,463,21765.0,5341.0,8.71
Client,Course / Résumé,2023,11,117.3,2,623,21510.0,6609.0,9.46
Client,Non défini,2023,11,120.0,0,358,21476.0,4179.0,8.57
Client,Non défini,2023,10,40.9,1,456,21474.0,6407.0,7.13
Client,Non défini,2025,3,108.9,2,259,21117.0,5570.0,4.69
Client,Non défini,2023,10,37.0,3,696,20955.0,5460.0,12.8
Client,Double Expresso,2023,10,188.2,6,398,20866.0,6096.0,6.63
Client,Non défini,2023,10,73.8,2,558,20850.0,6936.0,8.07
Client,Non défini,2023,11,123.2,3,537,20755.0,6064.0,8.91
Client,Non défini,2023,10,16.8,0,291,20579.0,6051.0,4.81
Client,Non défini,2023,10,32.7,5,318,19850.0,6070.0,5.32
Client,Non défini,2023,10,189.1,10,393,19761.0,5174.0,7.79
Client,Non défini,2023,11,261.6,3,333,19678.0,4979.0,6.75
Client,Non défini,2023,10,184.9,6,376,19526.0,4644.0,8.23
Client,Non défini,2024,12,77.7,6,262,19475.0,3911.0,6.85
Client,Double Expresso,2023,10,180.8,2,352,19108.0,4253.0,8.32
Client,Non défini,2023,10,115.0,3,235,18901.0,3844.0,6.19
Client,Non défini,2023,10,120.2,1,318,18785.0,4129.0,7.73
Client,Non défini,2023,10,31.2,6,317,18450.0,4780.0,6.76
Client,Course / Résumé,2023,11,117.4,5,514,18285.0,3218.0,16.13
Client,Non défini,2023,10,10.2,3,291,17883.0,4455.0,6.6
Kop,Non défini,2025,3,92.3,3,462,17708.0,5173.0,8.99
Client,Course / Résumé,2023,11,118.4,0,543,17677.0,5298.0,10.25
Client,Non défini,2023,12,143.4,0,190,17400.0,3318.0,5.73
Client,Non défini,2023,11,121.1,1,361,17361.0,3744.0,9.67
Client,Non défini,2023,10,19.4,0,355,16848.0,4352.0,8.16
Client,Non défini,2024,4,742.0,2,197,16594.0,3106.0,6.41
Client,Non défini,2023,11,90.1,3,298,16536.0,4233.0,7.11
Client,Course / Résumé,2023,11,116.1,2,578,16326.0,4649.0,12.48
Client,Course / Résumé,2023,11,117.2,1,645,16186.0,4095.0,15.78
Client,Non défini,2023,11,133.9,2,244,16090.0,3247.0,7.58
Client,Non défini,2024,3,29.3,7,261,16040.0,5150.0,5.2
Client,Non défini,2024,3,35.2,4,321,15882.0,3861.0,8.42
Client,Non défini,2024,11,27.0,2,411,15813.0,4820.0,8.57
Client,Non défini,2024,12,29.2,1,187,15538.0,3724.0,5.05
Client,Double Expresso,2023,10,198.0,2,314,15536.0,3216.0,9.83
Client,Non défini,2023,10,85.7,0,130,15307.0,2767.0,4.7
Client,Non défini,2023,10,13.3,2,389,15295.0,5640.0,6.93
Client,Non défini,2023,10,139.7,2,263,15291.0,2922.0,9.07
Client,Non défini,2023,10,191.0,3,315,15231.0,3306.0,9.62
Client,Non défini,2024,10,29.2,2,250,14621.0,4657.0,5.41
Client,Double Expresso,2024,4,55.0,1,260,14596.0,4193.0,6.22
Client,Non défini,2023,10,200.8,3,200,14339.0,3093.0,6.56
Client,Non défini,2023,11,77.3,0,342,13877.0,3692.0,9.26
Client,Non défini,2023,10,147.6,3,182,13252.0,2743.0,6.74
Client,Non défini,2023,10,118.4,0,209,13071.0,2885.0,7.24
Client,Non défini,2023,10,60.0,0,223,12977.0,2576.0,8.66
Client,Non défini,2024,12,18.5,1,273,12632.0,3403.0,8.05
Client,Non défini,2023,10,105.3,0,212,11603.0,2214.0,9.58
Client,Non défini,2024,4,30.0,0,91,10659.0,1590.0,5.72
Kop,Non défini,2025,3,,22,794,,,
Client,Non défini,2025,1,,2,118,,,
Client,Non défini,2025,1,,4,2614,,,
Client,Non défini,2025,2,,6,737,,,
Client,Non défini,2025,1,,3,398,,,
